date,Argentina,Bolivia,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela
2013-04-01,26.43881201,20.97368361,27.47128686,21.41165436,17.44101128,24.05823675,15.36565982,28.79420924,18.23286041,19.11732717
2013-05-01,25.67645919,17.26983065,24.2418586,18.18359119,17.69196067,17.91952801,13.91258582,26.86288519,14.54400725,18.80388622
2013-06-01,23.47113415,18.23270378,22.53527617,19.09990802,17.13934482,18.77090763,12.73721505,27.36796867,18.12258413,18.24089037
2013-07-01,25.32915943,18.5533775,23.73364088,24.47811286,17.46838543,20.80395527,12.81693715,28.16547699,15.63531184,23.04104449
2013-08-01,26.05385451,19.16274052,27.32788959,20.71568578,16.28037817,20.98610725,13.44561604,27.80757992,15.18417211,22.07007034
2013-09-01,24.2924303,20.38119349,23.78681797,21.99914743,17.24853679,21.86296965,12.9818197,26.9040309,14.31697304,21.36164345
2013-10-01,23.66605638,19.41089327,21.24280948,19.02144705,16.07146204,19.95230339,12.74253405,24.06986483,16.5048228,21.4948131
2013-11-01,24.08284166,16.55249347,23.46004218,18.17541554,16.23771824,18.80084099,11.43187813,25.15991703,15.90158255,20.9179205
2013-12-01,27.9017104,17.99775001,26.31019507,20.45815804,15.67626478,19.44447801,14.32904245,27.29153315,12.55375556,16.65422275
2014-01-01,29.75504291,18.08539893,25.71998265,22.46571211,15.56688822,20.51814253,11.38018958,26.84203919,12.75594819,18.00793139
2014-02-01,24.44066706,17.98529907,24.05869946,19.3517537,17.75577669,18.0046255,11.27287072,29.86438906,15.71441478,17.39908106
2014-03-01,21.97430369,17.18184775,25.5606659,20.54876803,15.40567708,21.13524571,16.95636203,30.55847944,13.89085961,20.355953
2014-04-01,23.04705799,19.88956419,24.82807911,18.91315398,17.10050833,18.39735367,14.51794194,29.18453779,16.2235837,18.5460811
2014-05-01,24.10389976,18.81371695,26.28669599,18.12267332,16.70989581,20.15502835,12.59557116,28.73763276,14.76173894,17.10750393
2014-06-01,24.16372204,17.0785178,24.62379804,18.42087295,16.5871091,20.50186471,11.48713731,31.12558329,13.20922569,17.25858777
2014-07-01,25.2334069,3.006006042,25.82097073,21.01533432,18.61307367,26.47971506,13.28849844,28.43544898,16.81295157,18.67731409
2014-08-01,23.23988266,1.998401489,24.57901186,19.54973659,17.59342396,22.31897167,12.53867207,27.17573669,13.7608683,16.92339502
2014-09-01,27.69718796,2.605639168,28.95088338,19.58836589,19.34996486,21.4258819,11.8961032,28.38158626,13.06600153,16.86937863
2014-10-01,24.22468689,2.383615387,28.45610324,19.28794997,17.20667951,20.01668265,12.38011095,25.97919411,15.57903495,17.61733034
2014-11-01,26.19282237,2.44645655,27.01667116,18.2374956,16.18210698,19.11287423,10.81299598,26.62197931,13.55571891,16.86014321
2014-12-01,26.29752086,2.269965851,28.55757571,20.4544803,18.07411899,19.04757638,11.72635526,27.36974061,16.29477356,20.30440756
2015-01-01,25.78093913,2.917341177,25.34887307,17.3691909,16.58519944,22.59769943,10.89471295,30.07095279,14.79289331,17.15897002
2015-02-01,24.99641334,2.827320032,27.88292596,19.33942467,16.43894438,21.35715877,12.93345059,28.16041718,18.27334937,20.97318711
2015-03-01,26.5193242,3.099774857,28.52218563,19.61308898,16.51231595,20.58269691,15.4696314,28.35689264,15.44497784,18.49173727
2015-04-01,29.25634422,3.209904963,29.57028833,19.30221286,15.13149442,22.02796543,12.57638142,28.09112092,15.72718196,20.12668928
2015-05-01,26.87694745,2.884887856,28.71702588,19.24227258,17.54489355,18.64505006,11.90048464,26.63743415,14.69338642,16.9890617
2015-06-01,26.13339322,4.944597855,30.27587459,17.67048533,20.76092892,23.4821862,13.38227938,26.77023688,15.72002852,16.89291788
2015-07-01,24.11458328,19.70712337,28.88592363,18.67769821,17.13702483,21.18330115,11.32203875,30.17806025,14.71947611,16.7799617
2015-08-01,22.8210441,18.34143621,30.14796825,19.67348974,15.32419667,18.71544801,11.03450755,26.40983353,16.38144438,14.55778607
2015-09-01,26.87808932,18.36791161,27.71704462,20.34259791,16.73255893,21.17676926,11.76540864,29.16824323,15.54636972,17.10828179
2015-10-01,25.60055298,20.47572607,26.27594267,20.17663706,16.78698985,18.15769276,12.64703794,28.2761465,14.04215182,15.30937351
2015-11-01,29.78921928,20.27561482,28.35151916,20.24243407,20.19457471,22.63898873,13.85581519,32.43691984,17.69143724,16.88891033
2015-12-01,30.40011278,18.63369774,28.01078359,20.15188333,19.17631105,23.10183406,12.48812438,28.92706685,17.04100432,13.89340098
2016-01-01,23.68147199,15.78452163,24.38927166,17.44008553,15.63737238,19.16875698,9.147942605,25.47352685,13.27031319,15.94875793
2016-02-01,28.6917808,18.45699992,25.38476308,19.84145197,15.15501986,18.79937089,9.077750979,28.98674555,12.8046462,16.52591279
2016-03-01,23.95903371,18.13481427,26.41788227,18.47318183,16.69578307,16.8976259,10.08396151,28.00416053,13.11361128,17.64061837
2016-04-01,24.98476864,17.1629003,25.85509321,20.77140039,15.44274605,23.63477678,10.92111041,31.13376055,12.31342915,16.86965147
2016-05-01,25.04644357,16.81407536,25.25030366,18.97466061,14.69944795,19.53071289,11.21962119,31.82629866,11.85308982,15.24611772
2016-06-01,25.10431064,18.07021865,25.28729304,18.20526384,15.7154573,21.00849163,10.03045855,28.60518198,14.76425414,13.27942095
2016-07-01,23.35804236,17.63346076,22.9581792,18.94145592,15.80457355,19.65468065,9.259187807,28.7522901,10.99184839,16.86263254
2016-08-01,22.64996197,17.63727137,24.32874415,17.20054775,14.1107005,17.51010897,7.743343466,27.45580178,14.25783863,13.18473794
2016-09-01,24.67508104,17.3470847,24.62860547,17.49754474,15.15790602,19.85736108,9.221017714,29.72922217,13.84799391,12.31956401
2016-10-01,21.81405682,14.28987495,22.58382255,18.85268515,12.72918585,20.11112851,9.79084716,29.84001189,12.73600909,12.75829534
2016-11-01,24.12797539,17.10429497,25.71925433,19.00889941,14.47211503,21.05441404,9.730695271,30.25951512,13.73672755,14.35221607
2016-12-01,25.6656861,14.09386573,28.56475008,21.77342969,15.6044136,21.13252822,10.93596775,31.38102398,16.93463547,12.33337767
2017-01-01,21.17729177,15.94294359,28.18714286,21.44105365,15.08098769,26.27635455,10.13772438,34.20197139,13.72117767,11.86711573
2017-02-01,25.02759074,16.4836625,26.50062676,22.49706292,15.7148702,20.84289788,8.965300796,31.58380246,15.22496088,13.98038308
2017-03-01,25.27616651,19.22910539,30.4240253,24.567165,16.02440185,26.60300109,11.80068501,27.54252215,13.45176494,13.95091004
2017-04-01,26.38576385,18.26368798,25.07104297,22.27010807,14.39134607,20.10228413,9.444881103,29.88384388,14.23740967,10.61321878
2017-05-01,25.03871846,19.41213569,29.59935613,20.60263623,15.23677882,22.01780119,10.61306028,34.36107775,13.76337153,10.98351258
2017-06-01,25.48745599,17.86323207,25.34404898,20.53874193,16.26209004,24.34709867,10.1284757,32.67173689,16.61114104,9.810641424
2017-07-01,25.40470492,16.94713307,24.95641314,22.80130988,16.04242136,24.19805774,9.679122021,32.82034641,13.86841858,9.782876268
2017-08-01,24.56275702,15.97941505,25.88069509,24.211434,16.43646499,24.52292596,9.258298241,34.16951519,15.41546177,15.86986067
2017-09-01,23.96150683,17.12898402,26.17551576,25.45288623,12.86460027,19.56863505,9.749708818,32.70707132,17.49101897,12.02255718
2017-10-01,24.72625733,17.14854921,26.65865055,26.06764931,15.4282517,22.86130397,8.985615593,31.9067303,15.48099088,9.879219577
2017-11-01,24.63007809,18.94754097,26.87776154,24.74135178,16.86869063,21.60353511,10.47894745,30.55328538,15.18519935,11.43957685
2017-12-01,23.99137261,18.05039113,26.50083248,23.84982546,16.09641641,21.73138918,9.984360973,33.72978854,13.43163452,7.539520712
2018-01-01,22.34133972,21.02309664,25.63117094,22.4672359,17.77522626,20.90844247,12.14371389,29.65246465,16.5557617,9.788348932
2018-02-01,24.63636523,18.56321288,26.21765543,23.73117124,16.14886197,22.75564438,10.66317688,27.5276547,15.51462718,8.535117766
2018-03-01,24.50232238,18.29859338,28.24027114,24.49700705,17.06379902,20.54033468,10.06204603,34.03530908,12.84372008,8.121125758
2018-04-01,27.10815485,20.28129449,32.69404973,25.45385055,16.66963691,27.8214269,10.77279318,34.94018755,18.65090008,9.908718554
2018-05-01,28.27084847,17.83093038,27.93865915,23.51732909,16.73707506,24.43676743,10.54120638,35.16990108,15.45665556,7.471367233
2018-06-01,24.02615734,17.65148068,27.02755951,23.02240264,16.51061742,24.28050549,9.061705785,31.86434616,14.57218288,7.688167927
2018-07-01,26.56475329,18.60957807,25.63027624,22.0333831,16.41926864,24.6518906,9.574977285,35.61633477,14.08997078,7.187992152
2018-08-01,32.45067184,18.66399008,30.92918106,25.06637725,16.64565997,26.21985732,9.458422756,35.97463821,17.6791803,9.834394083
2018-09-01,30.39717036,17.50783512,27.21462731,22.67683968,15.84419962,24.7330516,8.490572262,35.38864368,15.87769457,16.20097894
2018-10-01,27.40170229,17.50704784,26.13614236,23.02764987,16.43529127,22.41926041,8.522823173,33.41948046,18.20760938,9.827597119
2018-11-01,28.67985451,18.65958567,24.95974128,20.52700545,17.37239955,22.38242089,11.45687672,34.36897414,19.52868432,10.18337352
2018-12-01,26.82879957,18.13262838,25.46884805,23.51854336,15.70902263,21.71308846,8.669730596,31.99677277,16.64089833,7.700915163
2019-01-01,24.81367289,22.18492396,28.72755121,24.36949105,17.32821797,24.26222403,11.03870915,34.08791863,18.56282011,8.414291784
2019-02-01,25.61664307,18.92601041,28.37584526,23.37042139,16.69208334,24.35018651,9.352341628,31.60004587,17.14747211,9.79710731
2019-03-01,27.26094239,18.70742438,29.91307125,24.86488951,15.90364408,25.13115682,11.60787568,31.14628695,13.38750182,11.07909142
2019-04-01,24.81364001,18.88541543,28.62225902,22.45173892,16.6672658,20.72949596,9.953466041,34.29533929,17.07245166,10.50127852
